                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.63503,                0.62399,                0.99963,                0.71779,                0.63366,                0.94563,                 0.8303,                 0.8084,                0.88731,                 0.7683,                0.54784,                 0.5933,                0.99542,                0.55725,                0.58109,                0.88558,              0.0099673,              0.0099673,              0.0099673
                     36,                0.63634,                0.63133,                0.99293,                0.70827,                 0.6321,                 0.9403,                0.81415,                0.81839,                0.88233,                0.76249,                0.54887,                0.59496,                0.95594,                0.56724,                0.57198,                0.87711,              0.0099663,              0.0099663,              0.0099663
                     37,                0.63515,                0.62767,                0.99747,                 0.7081,                0.62853,                0.94108,                0.82666,                0.81252,                0.88163,                0.76137,                 0.5442,                0.58095,                 0.9935,                0.55649,                0.58721,                 0.8779,              0.0099654,              0.0099654,              0.0099654
                     38,                0.63142,                 0.6255,                0.99143,                0.70145,                0.62814,                0.93452,                 0.7769,                0.84209,                0.88393,                0.76767,                0.54493,                0.58315,                0.99038,                0.55792,                0.57005,                0.88085,              0.0099644,              0.0099644,              0.0099644
                     39,                 0.6379,                0.62335,                 1.0015,                0.71161,                0.62453,                0.94134,                 0.8573,                0.78761,                0.89037,                0.77326,                0.54219,                0.59358,                 0.9978,                0.55715,                0.59277,                0.88594,              0.0099634,              0.0099634,              0.0099634
                     40,                 0.6394,                0.62717,                 1.0069,                0.71329,                0.63163,                0.94929,                0.79778,                0.81686,                0.88572,                0.76877,                0.54532,                0.56475,                 1.0051,                0.55584,                0.57785,                 0.8846,              0.0099624,              0.0099624,              0.0099624
                     41,                0.62778,                0.60532,                 1.0012,                0.69763,                0.60288,                 0.9422,                0.82806,                0.80705,                0.88266,                0.76786,                0.54092,                 0.5835,                0.98506,                0.55037,                0.59376,                0.87921,              0.0099614,              0.0099614,              0.0099614
                     42,                0.63348,                0.61959,                0.99662,                0.70172,                 0.6176,                0.93899,                 0.8201,                0.80977,                0.87956,                0.76161,                 0.5483,                 0.6125,                0.98542,                0.55628,                0.61653,                0.88112,              0.0099604,              0.0099604,              0.0099604
                     43,                0.62757,                0.60854,                 1.0012,                0.69855,                0.61104,                0.93815,                0.82439,                0.80744,                0.88636,                0.76802,                0.54119,                0.56555,                 1.0007,                0.55487,                0.56662,                   0.88,              0.0099594,              0.0099594,              0.0099594
                     44,                0.63604,                0.60942,                0.99474,                0.70731,                0.60902,                0.93637,                0.81146,                0.84103,                 0.8944,                0.77899,                0.54492,                0.57117,                0.99651,                0.54877,                0.56732,                0.87695,              0.0099584,              0.0099584,              0.0099584
                     45,                0.63376,                0.61522,                 1.0055,                0.70299,                0.60879,                0.93942,                0.81892,                0.80185,                0.87844,                 0.7636,                0.54931,                0.59537,                 1.0114,                0.55611,                0.58251,                0.88381,              0.0099574,              0.0099574,              0.0099574
                     46,                0.62496,                 0.5956,                0.99829,                0.69423,                0.58914,                0.93486,                0.81396,                0.81902,                0.88311,                0.76551,                0.54089,                0.57563,                 1.0071,                0.55188,                0.58579,                0.88346,              0.0099564,              0.0099564,              0.0099564
                     47,                0.62325,                0.59878,                  0.992,                0.68986,                0.59609,                0.93368,                0.80206,                0.82134,                0.88726,                0.77076,                0.54066,                0.56603,                0.98279,                0.54738,                0.56159,                0.87592,              0.0099555,              0.0099555,              0.0099555
                     48,                0.61771,                0.59488,                0.99288,                0.68742,                 0.5945,                0.93288,                0.83499,                0.80327,                0.88761,                0.76915,                0.54231,                0.56994,                0.99282,                0.55152,                0.57008,                0.88137,              0.0099545,              0.0099545,              0.0099545
                     49,                0.62867,                0.60005,                 1.0013,                0.69982,                0.59806,                 0.9385,                0.81116,                0.83162,                0.88636,                0.76937,                0.54135,                0.55019,                  1.005,                0.55703,                0.55841,                0.88614,              0.0099535,              0.0099535,              0.0099535
                     50,                0.62596,                0.59706,                 1.0006,                0.69399,                0.59505,                0.93892,                0.84009,                0.82053,                0.89553,                0.77694,                0.54215,                0.54947,                 1.0059,                0.55103,                0.54816,                 0.8779,              0.0099525,              0.0099525,              0.0099525
                     51,                0.62432,                0.59302,                 1.0008,                0.68832,                0.59256,                0.93921,                0.81631,                0.82554,                 0.8844,                0.77142,                0.53791,                0.56785,                 1.0034,                0.54062,                0.56718,                0.87953,              0.0099515,              0.0099515,              0.0099515
                     52,                0.62598,                0.59836,                 1.0015,                0.69579,                0.59894,                0.94041,                0.81798,                0.83255,                 0.8872,                0.77272,                0.54203,                0.57198,                 1.0064,                0.54816,                0.56975,                0.88598,              0.0099505,              0.0099505,              0.0099505
                     53,                0.62436,                0.58579,                0.99884,                0.69133,                 0.5759,                0.94041,                0.86438,                0.80065,                0.89814,                0.78219,                0.53624,                0.55669,                 1.0046,                0.54794,                0.53841,                0.88608,              0.0099495,              0.0099495,              0.0099495
